Word,Count,Transcription,Total Conversational Turns,Total Words Spoken,Total Lines
speaker,13,small_talk_everyday_english_mono,2,442,13
0,12,small_talk_everyday_english_mono,2,442,13
new,4,small_talk_everyday_english_mono,2,442,13
mark,2,small_talk_everyday_english_mono,2,442,13
is,6,small_talk_everyday_english_mono,2,442,13
job,2,small_talk_everyday_english_mono,2,442,13
i,34,small_talk_everyday_english_mono,2,442,13
complain,2,small_talk_everyday_english_mono,2,442,13
really,18,small_talk_everyday_english_mono,2,442,13
love,6,small_talk_everyday_english_mono,2,442,13
am,6,small_talk_everyday_english_mono,2,442,13
working,4,small_talk_everyday_english_mono,2,442,13
are,2,small_talk_everyday_english_mono,2,442,13
friendly,2,small_talk_everyday_english_mono,2,442,13
helpful,2,small_talk_everyday_english_mono,2,442,13
help,2,small_talk_everyday_english_mono,2,442,13
feel,2,small_talk_everyday_english_mono,2,442,13
boss,2,small_talk_everyday_english_mono,2,442,13
hes,2,small_talk_everyday_english_mono,2,442,13
he,2,small_talk_everyday_english_mono,2,442,13
in,8,small_talk_everyday_english_mono,2,442,13
when,2,small_talk_everyday_english_mono,2,442,13
make,2,small_talk_everyday_english_mono,2,442,13
own,2,small_talk_everyday_english_mono,2,442,13
hours,2,small_talk_everyday_english_mono,2,442,13
leave,2,small_talk_everyday_english_mono,2,442,13
start,2,small_talk_everyday_english_mono,2,442,13
there,2,small_talk_everyday_english_mono,2,442,13
no,2,small_talk_everyday_english_mono,2,442,13
dress,2,small_talk_everyday_english_mono,2,442,13
wear,4,small_talk_everyday_english_mono,2,442,13
jeans,2,small_talk_everyday_english_mono,2,442,13
tshirt,2,small_talk_everyday_english_mono,2,442,13
even,2,small_talk_everyday_english_mono,2,442,13
shorts,2,small_talk_everyday_english_mono,2,442,13
summer,2,small_talk_everyday_english_mono,2,442,13
sounds,2,small_talk_everyday_english_mono,2,442,13
stand,2,small_talk_everyday_english_mono,2,442,13
wearing,2,small_talk_everyday_english_mono,2,442,13
suit,2,small_talk_everyday_english_mono,2,442,13
do,2,small_talk_everyday_english_mono,2,442,13
late,2,small_talk_everyday_english_mono,2,442,13
finishing,4,small_talk_everyday_english_mono,2,442,13
getting,2,small_talk_everyday_english_mono,2,442,13
run,2,small_talk_everyday_english_mono,2,442,13
theres,2,small_talk_everyday_english_mono,2,442,13
